"player_id","sc_id","player_name","team_abbrev","jersey","pos1","pos2","avg","age","games","P1_SC","P1_TOG","P1_P85","P2_SC","P2_TOG","P2_P85","injury","P_AVG"
260288,420,"James Frawley","HAW","12","DEF",,55.22,31,"225",55,81,58,74,87,72,,65
293738,421,"Sam Frost","HAW","8","DEF",,64.09,26,"91",35,89,33,56,93,51,,42
1003547,422,"Conor Glass","HAW","13","DEF",,49.43,22,"17",,,,,,,,
1006128,423,"Will Golds","HAW","45","FWD","MID",0,19,"",,,,,,,"Knee: TBC (2020-03-10)",
1006159,424,"Damon Greaves","HAW","44","DEF",,0,19,"",77,90,73,3,12,21,,47
291351,425,"Jack Gunston","HAW","19","FWD",,79.85,28,"191",,,,,,,"Ankle: 1-2 weeks (2020-03-10)",
1001043,426,"Oliver Hanrahan","HAW","41","FWD",,52.44,21,"9",36,84,36,46,91,43,,39.5
993794,427,"Blake Hardwick","HAW","15","DEF",,79,22,"66",68,84,69,,,,"Chest: 11 weeks (2020-03-10)",69
294077,428,"Michael Hartley","HAW","27","DEF",,71.67,26,"44",,,,,,,,
291201,429,"Ricky Henderson","HAW","31","MID",,94.82,31,"152",77,77,85,,,,,85
992462,430,"Daniel Howe","HAW","17","DEF","MID",73.58,24,"62",,,,,,,,
296254,431,"Jarman Impey","HAW","4","DEF",,74.12,24,"116",,,,,,,"Knee: Indefinite (2020-03-10)",
1005150,432,"Emerson Jeka","HAW","39","FWD",,0,18,"",,,,,,,,
998390,433,"Changkuoth Jiath","HAW","29","DEF",,67.5,20,"2",64,78,70,30,26,98,,84
1004991,434,"Harrison Jones","HAW","40","MID",,0,20,"0",,,,,,,,
1006030,435,"Jacob Koschitzke","HAW","34","DEF",,0,19,"",,,,,,,"AC joint: 3 weeks (2020-03-10)",
1000887,436,"Mitch Lewis","HAW","2","FWD",,67.58,21,"14",72,77,79,38,65,50,"Ankle: 1-2 weeks (2020-03-10)",64.5
1009421,437,"Finn Maginness","HAW","32","MID",,0,18,"",,,,,,,,
261323,438,"Ben McEvoy","HAW","7","RUC",,92.74,30,"206",0,2,0,69,74,79,,39.5
291856,439,"Tom Mitchell","HAW","3","MID",,0,26,"109",89,61,124,112,81,118,,121
1006314,440,"Dylan Moore","HAW","36","FWD",,56.14,20,"7",,,,,,,,
1008537,441,"Josh Morris","HAW","35","FWD",,0,18,"",,,,,,,"Knee: 4-5 weeks (2020-03-10)",
1000963,442,"Harry Morrison","HAW","1","FWD","MID",52.89,21,"31",43,89,41,84,87,82,,61.5
1007124,443,"Conor Nash","HAW","11","FWD",,49.64,21,"19",,,,46,85,46,,46
296041,444,"Tim O'Brien","HAW","23","DEF","FWD",71.69,25,"62",63,80,67,,,,"Eye: Test (2020-03-10)",67
294613,445,"Jaeger O'Meara","HAW","10","MID",,90.43,25,"92",40,40,85,93,81,98,,91.5
291821,446,"Jonathon Patton","HAW","25","RUC","FWD",0,26,"88",74,78,81,40,52,65,,73
1011873,447,"Harrison Pepper","HAW","42","DEF",,0,18,"",,,,,,,,
260710,448,"Paul Puopolo","HAW","28","FWD",,63.82,32,"189",74,77,82,65,54,102,,92
1001024,449,"Ned Reeves","HAW","43","RUC",,0,21,"",,,,,,,,
1004919,450,"Jackson Ross","HAW","37","FWD",,0,20,"0",,,,,,,,
998114,451,"Jack Scrimshaw","HAW","14","DEF",,64.5,21,"14",,,,58,73,68,,68
280969,452,"Tom Scully","HAW","21","MID",,65.71,28,"172",65,77,72,95,87,93,,82.5
280737,453,"Liam Shiels","HAW","26","MID",,86.84,28,"204",66,65,86,95,76,106,,96
297566,454,"James Sicily","HAW","6","DEF",,93.82,24,"82",,,,95,91,89,,89
294877,455,"Isaac Smith","HAW","16","MID",,83,31,"199",96,82,100,60,83,61,,80.5
280471,456,"Ben Stratton","HAW","24","DEF",,43.47,30,"187",40,91,37,17,83,17,,27
1002590,457,"Mathew Walker","HAW","33","FWD",,0,19,"",5,35,12,,,,,12
291962,458,"Chad Wingard","HAW","20","FWD","MID",75.93,26,"161",56,51,93,50,78,54,,73.5
